date,file1,file2,file3,file4,file5,file6,file7,file9,file8,file10
2000,75,47,32,78,35,87,25,19,75,45
2001,89,54,56,90,60,75,30,23,5,3
2002,25,1,10,54,8,25,43,71,63,11
2003,77,98,56,20,15,6,59,67,87,52
2004,52,61,44,87,37,27,25,6,33,24
2005,77,98,3,88,52,93,62,86,55,21
2006,92,82,9,32,71,70,97,74,13,31
2007,37,51,21,8,12,67,76,75,11,3
2008,32,9,27,71,11,98,23,61,58,89
2009,54,18,47,37,13,25,44,37,41,7
2010,2,92,48,29,39,25,83,96,64,92
2011,81,44,17,73,76,35,89,79,35,59
2012,41,76,79,87,89,48,24,13,52,14
2013,22,88,83,76,77,39,29,50,8,97
2014,35,89,37,57,44,64,23,24,39,94
2015,91,24,37,34,3,47,37,66,97,67
2016,61,89,18,30,25,51,74,7,62,98
2017,81,89,22,62,31,26,30,16,77,14
2018,11,81,50,67,62,16,54,53,64,82
